Code id,Name,Parent
OC6130,Mixed crop and animal producers,OC613
OC62,"Market-oriented skilled forestry, fishery and hunting workers",OC6
OC621,Forestry and related workers,OC62
OC6210,Forestry and related workers,OC621
OC622,"Fishery workers, hunters and trappers",OC62
OC6221,Aquaculture workers,OC622
OC6222,Inland and coastal waters fishery workers,OC622
OC6223,Deep-sea fishery workers,OC622
OC6224,Hunters and trappers,OC622
OC63,"Subsistence farmers, fishers, hunters and gatherers",OC6
OC631,Subsistence crop farmers,OC63
OC6310,Subsistence crop farmers,OC631
OC632,Subsistence livestock farmers,OC63
OC6320,Subsistence livestock farmers,OC632
OC633,Subsistence mixed crop and livestock farmers,OC63
OC6330,Subsistence mixed crop and livestock farmers,OC633
OC634,"Subsistence fishers, hunters, trappers and gatherers",OC63
OC6340,"Subsistence fishers, hunters, trappers and gatherers",OC634
OC7,Craft and related trades workers,
OC71,"Building and related trades workers, excluding electricians",OC7
OC711,Building frame and related trades workers,OC71
OC7111,House builders,OC711
OC7112,Bricklayers and related workers,OC711
OC7113,"Stonemasons, stone cutters, splitters and carvers",OC711
OC7114,"Concrete placers, concrete finishers and related workers",OC711
OC7115,Carpenters and joiners,OC711
OC7119,Building frame and related trades workers not elsewhere classified,OC711
OC712,Building finishers and related trades workers,OC71
OC7121,Roofers,OC712
OC7122,Floor layers and tile setters,OC712
OC7123,Plasterers,OC712
OC7124,Insulation workers,OC712
OC7125,Glaziers,OC712
OC7126,Plumbers and pipe fitters,OC712
OC7127,Air conditioning and refrigeration mechanics,OC712
OC713,"Painters, building structure cleaners and related trades workers",OC71
OC7131,Painters and related workers,OC713
OC7132,Spray painters and varnishers,OC713
OC7133,Building structure cleaners,OC713
OC72,"Metal, machinery and related trades workers",OC7
OC721,"Sheet and structural metal workers, moulders and welders, and related workers",OC72
OC7211,Metal moulders and coremakers,OC721
OC7212,Welders and flamecutters,OC721
OC7213,Sheet-metal workers,OC721
OC7214,Structural-metal preparers and erectors,OC721
OC7215,Riggers and cable splicers,OC721
OC722,"Blacksmiths, toolmakers and related trades workers",OC72
OC7221,"Blacksmiths, hammersmiths and forging press workers",OC722
OC7222,Toolmakers and related workers,OC722
OC7223,Metal working machine tool setters and operators,OC722
OC7224,"Metal polishers, wheel grinders and tool sharpeners",OC722
OC723,Machinery mechanics and repairers,OC72
OC7231,Motor vehicle mechanics and repairers,OC723
OC7232,Aircraft engine mechanics and repairers,OC723
OC7233,Agricultural and industrial machinery mechanics and repairers,OC723
OC7234,Bicycle and related repairers,OC723
OC73,Handicraft and printing workers,OC7
OC731,Handicraft workers,OC73
OC7311,Precision-instrument makers and repairers,OC731
OC7312,Musical instrument makers and tuners,OC731
OC7313,Jewellery and precious-metal workers,OC731
OC7314,Potters and related workers,OC731
OC7315,"Glass makers, cutters, grinders and finishers",OC731
OC7316,"Sign writers, decorative painters, engravers and etchers",OC731
OC7317,"Handicraft workers in wood, basketry and related materials",OC731
OC7318,"Handicraft workers in textile, leather and related materials",OC731
OC7319,Handicraft workers not elsewhere classified,OC731
OC732,Printing trades workers,OC73
OC7321,Pre-press technicians,OC732
OC7322,Printers,OC732
OC7323,Print finishing and binding workers,OC732
OC74,Electrical and electronic trades workers,OC7
OC741,Electrical equipment installers and repairers,OC74
OC7411,Building and related electricians,OC741
OC7412,Electrical mechanics and fitters,OC741
OC7413,Electrical line installers and repairers,OC741
OC742,Electronics and telecommunications installers and repairers,OC74
OC7421,Electronics mechanics and servicers,OC742
OC7422,Information and communications technology installers and servicers,OC742
OC75,"Food processing, wood working, garment and other craft and related trades workers",OC7
OC751,Food processing and related trades workers,OC75
OC7511,"Butchers, fishmongers and related food preparers",OC751
OC7512,"Bakers, pastry-cooks and confectionery makers",OC751
OC7513,Dairy-products makers,OC751
OC7514,"Fruit, vegetable and related preservers",OC751
OC7515,Food and beverage tasters and graders,OC751
OC7516,Tobacco preparers and tobacco products makers,OC751
OC752,"Wood treaters, cabinet-makers and related trades workers",OC75
OC7521,Wood treaters,OC752
OC7522,Cabinet-makers and related workers,OC752
OC7523,Woodworking-machine tool setters and operators,OC752
OC753,Garment and related trades workers,OC75
OC7531,"Tailors, dressmakers, furriers and hatters",OC753
OC7532,Garment and related pattern-makers and cutters,OC753
OC7533,"Sewing, embroidery and related workers",OC753
OC7534,Upholsterers and related workers,OC753
OC7535,"Pelt dressers, tanners and fellmongers",OC753
OC7536,Shoemakers and related workers,OC753
OC754,Other craft and related workers,OC75
OC7541,Underwater divers,OC754
OC7542,Shotfirers and blasters,OC754
OC7543,Product graders and testers (excluding foods and beverages),OC754
OC7544,Fumigators and other pest and weed controllers,OC754
OC7549,Craft and related workers not elsewhere classified,OC754
OC8,"Plant and machine operators, and assemblers",
OC81,Stationary plant and machine operators,OC8
OC811,Mining and mineral processing plant operators,OC81
OC8111,Miners and quarriers,OC811
OC8112,Mineral and stone processing plant operators,OC811
OC8113,Well drillers and borers and related workers,OC811
OC8114,"Cement, stone and other mineral products machine operators",OC811
OC812,Metal processing and finishing plant operators,OC81
OC8121,Metal processing plant operators,OC812
OC8122,"Metal finishing, plating and coating machine operators",OC812
OC813,Chemical and photographic products plant and machine operators,OC81
OC8131,Chemical products plant and machine operators,OC813
OC8132,Photographic products machine operators,OC813
OC814,"Rubber, plastic and paper products machine operators",OC81
OC8141,Rubber products machine operators,OC814
OC8142,Plastic products machine operators,OC814
OC8143,Paper products machine operators,OC814
OC815,"Textile, fur and leather products machine operators",OC81
OC8151,"Fibre preparing, spinning and winding machine operators",OC815
OC8152,Weaving and knitting machine operators,OC815
OC8153,Sewing machine operators,OC815
OC8154,"Bleaching, dyeing and fabric cleaning machine operators",OC815
OC8155,Fur and leather preparing machine operators,OC815
OC8156,Shoemaking and related machine operators,OC815
OC8157,Laundry machine operators,OC815
OC8159,"Textile, fur and leather products machine operators not elsewhere classified",OC815
OC816,Food and related products machine operators,OC81
OC8160,Food and related products machine operators,OC816
OC817,Wood processing and papermaking plant operators,OC81
OC8171,Pulp and papermaking plant operators,OC817
OC8172,Wood processing plant operators,OC817
OC818,Other stationary plant and machine operators,OC81
OC8181,Glass and ceramics plant operators,OC818
OC8182,Steam engine and boiler operators,OC818
OC8183,"Packing, bottling and labelling machine operators",OC818
OC8189,Stationary plant and machine operators not elsewhere classified,OC818
OC82,Assemblers,OC8
OC821,Assemblers,OC82
OC8211,Mechanical machinery assemblers,OC821
OC8212,Electrical and electronic equipment assemblers,OC821
OC8219,Assemblers not elsewhere classified,OC821
OC83,Drivers and mobile plant operators,OC8
OC831,Locomotive engine drivers and related workers,OC83
OC8311,Locomotive engine drivers,OC831
OC8312,"Railway brake, signal and switch operators",OC831
OC832,"Car, van and motorcycle drivers",OC83
OC8321,Motorcycle drivers,OC832
OC8322,"Car, taxi and van drivers",OC832
OC833,Heavy truck and bus drivers,OC83
OC8331,Bus and tram drivers,OC833
OC8332,Heavy truck and lorry drivers,OC833
OC834,Mobile plant operators,OC83
OC8341,Mobile farm and forestry plant operators,OC834
OC8342,Earthmoving and related plant operators,OC834
OC8343,"Crane, hoist and related plant operators",OC834
OC8344,Lifting truck operators,OC834
OC835,Ships' deck crews and related workers,OC83
OC8350,Ships' deck crews and related workers,OC835
OC9,Elementary occupations,
OC91,Cleaners and helpers,OC9
OC911,"Domestic, hotel and office cleaners and helpers",OC91
OC9111,Domestic cleaners and helpers,OC911
OC9112,"Cleaners and helpers in offices, hotels and other establishments",OC911
OC912,"Vehicle, window, laundry and other hand cleaning workers",OC91
OC9121,Hand launderers and pressers,OC912
OC9122,Vehicle cleaners,OC912
OC9123,Window cleaners,OC912
OC9129,Other cleaning workers,OC912
OC92,"Agricultural, forestry and fishery labourers",OC9
OC921,"Agricultural, forestry and fishery labourers",OC92
OC9211,Crop farm labourers,OC921
OC9212,Livestock farm labourers,OC921
OC9213,Mixed crop and livestock farm labourers,OC921
OC9214,Garden and horticultural labourers,OC921
OC9215,Forestry labourers,OC921
OC9216,Fishery and aquaculture labourers,OC921
OC93,"Labourers in mining, construction, manufacturing and transport",OC9
OC931,Mining and construction labourers,OC93
OC9311,Mining and quarrying labourers,OC931
OC9312,Civil engineering labourers,OC931
OC9313,Building construction labourers,OC931
OC932,Manufacturing labourers,OC93
OC9321,Hand packers,OC932
OC9329,Manufacturing labourers not elsewhere classified,OC932
OC933,Transport and storage labourers,OC93
OC9331,Hand and pedal vehicle drivers,OC933
OC9332,Drivers of animal-drawn vehicles and machinery,OC933
OC9333,Freight handlers,OC933
OC9334,Shelf fillers,OC933
OC94,Food preparation assistants,OC9
OC941,Food preparation assistants,OC94
OC9411,Fast food preparers,OC941
OC9412,Kitchen helpers,OC941
OC95,Street and related sales and service workers,OC9
OC951,Street and related service workers,OC95
OC9510,Street and related service workers,OC951
OC952,Street vendors (excluding food),OC95
OC9520,Street vendors (excluding food),OC952
OC96,Refuse workers and other elementary workers,OC9
OC961,Refuse workers,OC96
OC9611,Garbage and recycling collectors,OC961
OC9612,Refuse sorters,OC961
OC9613,Sweepers and related labourers,OC961
OC962,Other elementary workers,OC96
OC9621,"Messengers, package deliverers and luggage porters",OC962
OC9622,Odd job persons,OC962
OC9623,Meter readers and vending-machine collectors,OC962
OC9624,Water and firewood collectors,OC962
OC9629,Elementary workers not elsewhere classified,OC962
OC0,Armed forces occupations,
OC01,Commissioned armed forces officers,OC0
OC011,Commissioned armed forces officers,OC01
OC0110,Commissioned armed forces officers,OC011
OC02,Non-commissioned armed forces officers,OC0
OC021,Non-commissioned armed forces officers,OC02
OC0210,Non-commissioned armed forces officers,OC021
OC03,"Armed forces occupations, other ranks",OC0
OC031,"Armed forces occupations, other ranks",OC03
OC0310,"Armed forces occupations, other ranks",OC031
